person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_amnt,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,income_per_year_employed,predicted_pd,risk_band,actual_default,recommendation
26,48701,RENT,3.0,MEDICAL,8000,0.16,0,4,12175.25,0.14270172130130326,Low Risk,0,"Consider approval, subject to lender policy"
24,81000,MORTGAGE,0.0,DEBTCONSOLIDATION,15000,0.19,0,4,81000.0,0.12453470999394377,Low Risk,0,"Consider approval, subject to lender policy"
26,52582,RENT,3.0,VENTURE,2800,0.05,0,4,13145.5,0.045804319133978116,Low Risk,0,"Consider approval, subject to lender policy"
23,75000,OWN,5.0,PERSONAL,21000,0.28,0,2,12500.0,0.01799354209204283,Low Risk,0,"Consider approval, subject to lender policy"
22,36000,RENT,1.0,VENTURE,6000,0.17,0,4,18000.0,0.12080128616499927,Low Risk,0,"Consider approval, subject to lender policy"
23,61000,RENT,3.0,PERSONAL,4200,0.07,0,4,15250.0,0.06856825652089167,Low Risk,0,"Consider approval, subject to lender policy"
28,92801,MORTGAGE,12.0,MEDICAL,20000,0.18,1,8,7138.538461538462,0.37375818361431795,High Risk,1,Additional assessment required
23,195000,MORTGAGE,0.0,EDUCATION,20000,0.1,0,3,195000.0,0.07493443700748545,Low Risk,0,"Consider approval, subject to lender policy"
24,52000,MORTGAGE,7.0,MEDICAL,5000,0.1,1,3,6500.0,0.39445751385149647,High Risk,0,Additional assessment required
26,50000,MORTGAGE,2.0,PERSONAL,20000,0.4,0,3,16666.666666666668,0.1962860652196157,Medium Risk,0,Consider manual review
26,68500,MORTGAGE,7.0,MEDICAL,9000,0.13,0,4,8562.5,0.11105769992591269,Low Risk,0,"Consider approval, subject to lender policy"
28,84800,RENT,4.0,DEBTCONSOLIDATION,9000,0.11,0,7,16960.0,0.06629699051790132,Low Risk,0,"Consider approval, subject to lender policy"
32,91800,MORTGAGE,13.0,MEDICAL,8400,0.08,0,9,6557.142857142857,0.07870575542650825,Low Risk,1,"Consider approval, subject to lender policy"
22,42000,RENT,0.0,EDUCATION,5000,0.12,0,4,42000.0,0.11804893674647718,Low Risk,0,"Consider approval, subject to lender policy"
37,80000,MORTGAGE,8.0,DEBTCONSOLIDATION,13000,0.16,0,13,8888.888888888889,0.0701488046429036,Low Risk,0,"Consider approval, subject to lender policy"
23,52000,RENT,5.0,PERSONAL,4600,0.09,0,2,8666.666666666666,0.0980333632506304,Low Risk,1,"Consider approval, subject to lender policy"
23,40000,MORTGAGE,7.0,VENTURE,5000,0.13,0,4,5000.0,0.031383859680927856,Low Risk,0,"Consider approval, subject to lender policy"
26,14400,RENT,1.0,VENTURE,3000,0.21,0,2,7200.0,0.9425435234392254,Very High Risk,1,High-risk application; apply lender policy
25,29000,RENT,9.0,MEDICAL,3000,0.1,0,2,2900.0,0.32137242325986604,High Risk,1,Additional assessment required
23,21000,RENT,2.0,VENTURE,3000,0.14,0,3,7000.0,0.14515912146370258,Low Risk,0,"Consider approval, subject to lender policy"
44,120000,MORTGAGE,6.0,HOMEIMPROVEMENT,4000,0.03,0,14,17142.85714285714,0.03984040730604535,Low Risk,0,"Consider approval, subject to lender policy"
29,30000,RENT,0.0,DEBTCONSOLIDATION,2000,0.07,0,7,30000.0,0.22401083731048227,Medium Risk,0,Consider manual review
26,32450,MORTGAGE,5.0,MEDICAL,3250,0.1,0,4,5408.333333333333,0.24655783200572953,Medium Risk,0,Consider manual review
30,52576,RENT,3.0,HOMEIMPROVEMENT,8400,0.16,0,6,13144.0,0.14205046964739504,Low Risk,1,"Consider approval, subject to lender policy"
25,45000,RENT,4.0,DEBTCONSOLIDATION,15000,0.33,0,3,9000.0,0.9675976789838215,Very High Risk,1,High-risk application; apply lender policy
34,20000,RENT,0.0,MEDICAL,5000,0.25,0,9,20000.0,0.1846795441795934,Medium Risk,1,Consider manual review
23,15000,OWN,4.0,DEBTCONSOLIDATION,4000,0.27,0,4,3000.0,0.9659996077522801,Very High Risk,1,High-risk application; apply lender policy
22,28880,MORTGAGE,4.0,MEDICAL,2000,0.07,0,3,5776.0,0.1838518315257371,Medium Risk,0,Consider manual review
43,500000,MORTGAGE,5.0,VENTURE,25000,0.05,1,14,83333.33333333333,0.17484000358612886,Medium Risk,0,Consider manual review
27,115000,MORTGAGE,11.0,VENTURE,5000,0.04,0,5,9583.333333333334,0.018353977381738787,Low Risk,0,"Consider approval, subject to lender policy"
26,40000,MORTGAGE,5.0,EDUCATION,7200,0.18,0,2,6666.666666666667,0.06820638983666756,Low Risk,0,"Consider approval, subject to lender policy"
23,60000,MORTGAGE,7.0,PERSONAL,6000,0.1,0,4,7500.0,0.05642901354253383,Low Risk,0,"Consider approval, subject to lender policy"
24,88000,MORTGAGE,4.0,MEDICAL,6000,0.07,0,2,17600.0,0.08503312980552395,Low Risk,0,"Consider approval, subject to lender policy"
31,50000,RENT,1.0,MEDICAL,10000,0.2,0,8,25000.0,0.13944240690221288,Low Risk,0,"Consider approval, subject to lender policy"
25,49000,MORTGAGE,9.0,PERSONAL,7000,0.14,0,3,4900.0,0.0896726803331134,Low Risk,0,"Consider approval, subject to lender policy"
25,61000,MORTGAGE,4.0,EDUCATION,7000,0.11,0,4,12200.0,0.05512500382049201,Low Risk,0,"Consider approval, subject to lender policy"
36,51000,RENT,5.0,MEDICAL,8000,0.16,1,13,8500.0,0.34280487901185236,High Risk,0,Additional assessment required
24,90000,RENT,8.0,HOMEIMPROVEMENT,10000,0.11,0,4,10000.0,0.056466824622791116,Low Risk,0,"Consider approval, subject to lender policy"
28,70000,RENT,0.0,DEBTCONSOLIDATION,12800,0.18,0,6,70000.0,0.09258861711915488,Low Risk,0,"Consider approval, subject to lender policy"
24,62000,MORTGAGE,7.0,PERSONAL,6200,0.1,0,3,7750.0,0.05642901354253383,Low Risk,0,"Consider approval, subject to lender policy"
23,60000,RENT,4.0,DEBTCONSOLIDATION,7000,0.12,0,3,12000.0,0.10521885787741175,Low Risk,0,"Consider approval, subject to lender policy"
31,101000,MORTGAGE,5.0,EDUCATION,18000,0.18,0,6,16833.333333333332,0.04569936427697666,Low Risk,0,"Consider approval, subject to lender policy"
22,23000,RENT,6.0,VENTURE,4850,0.21,1,4,3285.714285714286,0.2313539713053296,Medium Risk,0,Consider manual review
27,18000,RENT,0.0,PERSONAL,8000,0.44,0,10,18000.0,0.9921460613992454,Very High Risk,1,High-risk application; apply lender policy
34,160000,MORTGAGE,9.0,DEBTCONSOLIDATION,7500,0.05,0,10,16000.0,0.07364781826283953,Low Risk,0,"Consider approval, subject to lender policy"
29,54000,MORTGAGE,9.0,DEBTCONSOLIDATION,12000,0.22,0,7,5400.0,0.17748612771819477,Medium Risk,0,Consider manual review
45,70000,MORTGAGE,15.0,MEDICAL,10000,0.14,0,12,4375.0,0.10887788196868975,Low Risk,0,"Consider approval, subject to lender policy"
29,30000,RENT,4.0,VENTURE,7000,0.23,0,9,6000.0,0.1437371078431142,Low Risk,0,"Consider approval, subject to lender policy"
25,57000,RENT,2.0,PERSONAL,9500,0.17,0,3,19000.0,0.1311190135111673,Low Risk,0,"Consider approval, subject to lender policy"
35,32004,RENT,2.0,MEDICAL,1500,0.05,0,7,10668.0,0.23562238576171807,Medium Risk,0,Consider manual review
22,50000,MORTGAGE,7.0,DEBTCONSOLIDATION,9000,0.18,0,2,6250.0,0.16123369751286185,Medium Risk,0,Consider manual review
23,54996,MORTGAGE,7.0,PERSONAL,8000,0.15,0,4,6874.5,0.08931124667479104,Low Risk,0,"Consider approval, subject to lender policy"
22,65000,MORTGAGE,6.0,EDUCATION,12800,0.2,0,4,9285.714285714286,0.0550331112021936,Low Risk,0,"Consider approval, subject to lender policy"
25,147750,RENT,3.0,HOMEIMPROVEMENT,5750,0.04,0,4,36937.5,0.06245457592550293,Low Risk,0,"Consider approval, subject to lender policy"
23,41000,MORTGAGE,4.0,MEDICAL,7500,0.18,0,2,8200.0,0.178454544872054,Medium Risk,0,Consider manual review
23,58600,MORTGAGE,6.0,PERSONAL,7800,0.13,0,4,8371.42857142857,0.08331746896714025,Low Risk,0,"Consider approval, subject to lender policy"
21,57000,RENT,5.0,DEBTCONSOLIDATION,12000,0.21,0,4,9500.0,0.13586101362030853,Low Risk,0,"Consider approval, subject to lender policy"
25,47000,RENT,8.0,DEBTCONSOLIDATION,8500,0.18,0,4,5222.222222222223,0.14632115669422407,Low Risk,0,"Consider approval, subject to lender policy"
26,36000,RENT,0.0,PERSONAL,4000,0.11,0,2,36000.0,0.14398938435933234,Low Risk,0,"Consider approval, subject to lender policy"
22,54000,MORTGAGE,4.0,EDUCATION,5000,0.09,0,2,10800.0,0.07925126652092596,Low Risk,0,"Consider approval, subject to lender policy"
22,74000,RENT,3.0,DEBTCONSOLIDATION,5000,0.07,1,4,18500.0,0.4662288496371782,Very High Risk,1,High-risk application; apply lender policy
33,81000,MORTGAGE,2.0,VENTURE,7500,0.09,0,9,27000.0,0.029623042277686657,Low Risk,0,"Consider approval, subject to lender policy"
29,19200,OWN,7.0,VENTURE,6000,0.31,0,5,2400.0,0.9545362830552252,Very High Risk,1,High-risk application; apply lender policy
29,69000,MORTGAGE,2.0,HOMEIMPROVEMENT,25000,0.36,1,5,23000.0,0.3399432625103043,High Risk,1,Additional assessment required
27,54000,MORTGAGE,1.0,HOMEIMPROVEMENT,27575,0.51,0,5,27000.0,0.32361068705206236,High Risk,0,Additional assessment required
31,54000,MORTGAGE,12.0,DEBTCONSOLIDATION,6000,0.11,0,5,4153.846153846154,0.16311029821805295,Medium Risk,0,Consider manual review
21,75000,MORTGAGE,5.0,EDUCATION,8550,0.11,0,3,12500.0,0.04385159715857902,Low Risk,0,"Consider approval, subject to lender policy"
29,40800,MORTGAGE,11.0,HOMEIMPROVEMENT,3200,0.08,1,10,3400.0,0.28037487280631945,High Risk,0,Additional assessment required
25,78000,MORTGAGE,4.0,DEBTCONSOLIDATION,3000,0.04,0,3,15600.0,0.12677205881487308,Low Risk,1,"Consider approval, subject to lender policy"
24,85000,MORTGAGE,2.0,PERSONAL,9600,0.11,0,4,28333.333333333332,0.04390381510624179,Low Risk,0,"Consider approval, subject to lender policy"
31,31500,RENT,2.0,VENTURE,3500,0.11,0,6,10500.0,0.18633037324676022,Medium Risk,0,Consider manual review
34,70000,RENT,1.0,DEBTCONSOLIDATION,6000,0.09,0,7,35000.0,0.09459826507443894,Low Risk,0,"Consider approval, subject to lender policy"
42,125000,MORTGAGE,5.0,VENTURE,35000,0.28,0,17,20833.333333333332,0.06303203076462655,Low Risk,0,"Consider approval, subject to lender policy"
26,157200,MORTGAGE,1.0,DEBTCONSOLIDATION,20000,0.13,0,3,78600.0,0.12245417582431807,Low Risk,0,"Consider approval, subject to lender policy"
22,22800,MORTGAGE,5.0,PERSONAL,2000,0.09,0,3,3800.0,0.11182702433556138,Low Risk,0,"Consider approval, subject to lender policy"
23,70000,MORTGAGE,5.0,PERSONAL,3000,0.04,0,4,11666.666666666666,0.05293483532633079,Low Risk,0,"Consider approval, subject to lender policy"
26,102000,MORTGAGE,6.0,DEBTCONSOLIDATION,6000,0.06,0,2,14571.42857142857,0.07578007226440803,Low Risk,0,"Consider approval, subject to lender policy"
23,45000,MORTGAGE,6.0,MEDICAL,5000,0.11,0,2,6428.571428571428,0.16552401912108405,Medium Risk,1,Consider manual review
37,48000,RENT,0.0,PERSONAL,2500,0.05,0,12,48000.0,0.1264183104349044,Low Risk,0,"Consider approval, subject to lender policy"
30,219300,MORTGAGE,7.0,MEDICAL,35000,0.14,0,9,27412.5,0.19069716015829521,Medium Risk,1,Consider manual review
22,40000,RENT,6.0,EDUCATION,14000,0.35,0,4,5714.285714285715,0.9425264213809309,Very High Risk,1,High-risk application; apply lender policy
39,70000,OWN,0.0,VENTURE,8000,0.11,0,12,70000.0,0.00794182254400049,Low Risk,0,"Consider approval, subject to lender policy"
24,95000,RENT,8.0,DEBTCONSOLIDATION,10000,0.11,0,2,10555.555555555555,0.07857779260179458,Low Risk,0,"Consider approval, subject to lender policy"
24,97908,RENT,8.0,HOMEIMPROVEMENT,25000,0.26,1,2,10878.666666666666,0.441704405965153,High Risk,1,Additional assessment required
23,42000,RENT,3.0,DEBTCONSOLIDATION,6000,0.14,0,4,10500.0,0.1298623313205222,Low Risk,1,"Consider approval, subject to lender policy"
26,30000,RENT,3.0,DEBTCONSOLIDATION,6000,0.2,0,3,7500.0,0.22883373732400025,Medium Risk,0,Consider manual review
36,130000,MORTGAGE,9.0,PERSONAL,12000,0.09,0,14,13000.0,0.039851143121511445,Low Risk,0,"Consider approval, subject to lender policy"
26,90000,RENT,4.0,EDUCATION,12000,0.13,0,3,18000.0,0.04299205195972138,Low Risk,0,"Consider approval, subject to lender policy"
24,48000,MORTGAGE,2.0,EDUCATION,5500,0.11,0,3,16000.0,0.08474311008261862,Low Risk,0,"Consider approval, subject to lender policy"
22,36000,MORTGAGE,6.0,EDUCATION,12000,0.33,0,3,5142.857142857143,0.15103545818092554,Medium Risk,0,Consider manual review
25,29000,RENT,9.0,EDUCATION,3000,0.1,0,4,2900.0,0.22594281014707085,Medium Risk,1,Consider manual review
31,46000,RENT,1.0,VENTURE,13000,0.28,0,9,23000.0,0.15929216609221597,Medium Risk,1,Consider manual review
25,110000,OWN,7.0,VENTURE,8000,0.07,0,3,13750.0,0.005957591129498555,Low Risk,0,"Consider approval, subject to lender policy"
43,54000,RENT,0.0,EDUCATION,8725,0.16,0,14,54000.0,0.251130046685463,High Risk,0,Additional assessment required
31,50000,MORTGAGE,1.0,DEBTCONSOLIDATION,12000,0.24,0,6,25000.0,0.13051878988724588,Low Risk,0,"Consider approval, subject to lender policy"
21,33000,RENT,0.0,MEDICAL,3500,0.11,0,4,33000.0,0.22573045971480366,Medium Risk,0,Consider manual review
29,18000,RENT,3.0,MEDICAL,1700,0.09,0,10,4500.0,0.35327677447835554,High Risk,0,Additional assessment required
32,200000,RENT,6.0,HOMEIMPROVEMENT,35000,0.17,1,8,28571.428571428572,0.3085487904922148,High Risk,0,Additional assessment required
24,12960,MORTGAGE,0.0,DEBTCONSOLIDATION,4500,0.35,0,4,12960.0,0.9591163347211892,Very High Risk,1,High-risk application; apply lender policy
22,69000,MORTGAGE,6.0,PERSONAL,15000,0.22,0,4,9857.142857142857,0.07105387523444168,Low Risk,1,"Consider approval, subject to lender policy"
31,96713,MORTGAGE,3.0,DEBTCONSOLIDATION,7000,0.07,0,6,24178.25,0.07384043149800212,Low Risk,0,"Consider approval, subject to lender policy"
25,90000,MORTGAGE,9.0,HOMEIMPROVEMENT,10000,0.11,0,4,9000.0,0.037491224818969805,Low Risk,0,"Consider approval, subject to lender policy"
34,51621,MORTGAGE,5.0,HOMEIMPROVEMENT,3500,0.07,0,7,8603.5,0.09727983329733196,Low Risk,0,"Consider approval, subject to lender policy"
27,29040,RENT,11.0,DEBTCONSOLIDATION,1800,0.06,1,5,2420.0,0.673079125743208,Very High Risk,1,High-risk application; apply lender policy
35,105000,MORTGAGE,18.0,PERSONAL,3000,0.03,0,7,5526.315789473684,0.04046211574893736,Low Risk,0,"Consider approval, subject to lender policy"
38,55000,MORTGAGE,16.0,EDUCATION,11700,0.21,0,15,3235.294117647059,0.0835336656635827,Low Risk,0,"Consider approval, subject to lender policy"
23,40000,MORTGAGE,7.0,EDUCATION,3500,0.09,0,3,5000.0,0.06384592249791728,Low Risk,0,"Consider approval, subject to lender policy"
24,50000,MORTGAGE,2.0,PERSONAL,7000,0.14,0,4,16666.666666666668,0.09239570196593398,Low Risk,0,"Consider approval, subject to lender policy"
25,90996,RENT,5.0,MEDICAL,14000,0.15,0,2,15166.0,0.07721629496982339,Low Risk,0,"Consider approval, subject to lender policy"
32,60000,RENT,7.0,HOMEIMPROVEMENT,7000,0.12,0,8,7500.0,0.09525117288183266,Low Risk,0,"Consider approval, subject to lender policy"
35,50000,RENT,4.0,PERSONAL,11500,0.23,0,8,10000.0,0.09802236890454478,Low Risk,0,"Consider approval, subject to lender policy"
30,35000,OWN,8.0,MEDICAL,10000,0.29,0,6,3888.8888888888887,0.02638115002307889,Low Risk,0,"Consider approval, subject to lender policy"
35,165000,MORTGAGE,3.0,VENTURE,8000,0.05,0,8,41250.0,0.02178797766796407,Low Risk,0,"Consider approval, subject to lender policy"
25,29000,RENT,0.0,HOMEIMPROVEMENT,3000,0.1,1,2,29000.0,0.9070198097378824,Very High Risk,1,High-risk application; apply lender policy
28,84996,RENT,12.0,HOMEIMPROVEMENT,20000,0.24,0,9,6538.153846153846,0.07798553805495856,Low Risk,0,"Consider approval, subject to lender policy"
23,60000,MORTGAGE,5.0,DEBTCONSOLIDATION,10000,0.17,0,4,10000.0,0.111165103329842,Low Risk,0,"Consider approval, subject to lender policy"
24,62400,MORTGAGE,8.0,HOMEIMPROVEMENT,4000,0.06,0,4,6933.333333333333,0.0679213741148053,Low Risk,0,"Consider approval, subject to lender policy"
33,140004,RENT,7.0,EDUCATION,25000,0.18,0,10,17500.5,0.10398627904776711,Low Risk,0,"Consider approval, subject to lender policy"
25,42900,RENT,5.0,PERSONAL,12000,0.28,0,3,7150.0,0.15273539329436334,Medium Risk,0,Consider manual review
43,65000,MORTGAGE,2.0,EDUCATION,24000,0.37,0,13,21666.666666666668,0.1793363641915539,Medium Risk,0,Consider manual review
22,36000,RENT,1.0,EDUCATION,5000,0.14,0,4,18000.0,0.1314151031003217,Low Risk,1,"Consider approval, subject to lender policy"
30,72000,MORTGAGE,13.0,VENTURE,12000,0.17,0,8,5142.857142857143,0.03442350156888239,Low Risk,0,"Consider approval, subject to lender policy"
28,70000,MORTGAGE,13.0,HOMEIMPROVEMENT,5000,0.07,0,7,5000.0,0.06463462338213012,Low Risk,0,"Consider approval, subject to lender policy"
41,102300,MORTGAGE,9.0,EDUCATION,8800,0.09,0,11,10230.0,0.037764819393203176,Low Risk,0,"Consider approval, subject to lender policy"
28,72000,MORTGAGE,13.0,PERSONAL,16000,0.22,0,9,5142.857142857143,0.07258090179828829,Low Risk,0,"Consider approval, subject to lender policy"
24,90000,RENT,1.0,HOMEIMPROVEMENT,19500,0.22,0,2,45000.0,0.17711232513799632,Medium Risk,0,Consider manual review
31,69000,RENT,12.0,HOMEIMPROVEMENT,16000,0.23,0,9,5307.692307692308,0.11312046847160524,Low Risk,0,"Consider approval, subject to lender policy"
27,61200,MORTGAGE,11.0,MEDICAL,5000,0.07,0,5,5100.0,0.11429873232714181,Low Risk,1,"Consider approval, subject to lender policy"
29,45000,OWN,0.0,EDUCATION,6800,0.15,0,5,45000.0,0.014859511811100488,Low Risk,0,"Consider approval, subject to lender policy"
22,66000,MORTGAGE,6.0,PERSONAL,12000,0.18,0,3,9428.57142857143,0.06180919892295458,Low Risk,0,"Consider approval, subject to lender policy"
22,98000,RENT,2.0,EDUCATION,20000,0.2,0,4,32666.666666666668,0.10609253812575585,Low Risk,0,"Consider approval, subject to lender policy"
29,35000,RENT,1.0,VENTURE,15000,0.43,0,10,17500.0,0.9619406755408645,Very High Risk,1,High-risk application; apply lender policy
49,50000,MORTGAGE,4.0,DEBTCONSOLIDATION,10000,0.2,0,15,10000.0,0.13719629814372325,Low Risk,0,"Consider approval, subject to lender policy"
